lon lat time count friction misfit shape s1a s1p s2a s2p s3a s3p
137.0 35.5 2009.0 3587 0.75 30.273304 0.97105 104.53046 2.3903427 194.89166 8.5877075 359.10455 81.08096
138.0 35.5 2009.0 3611 0.75 34.985878 0.9532719 114.05789 4.885391 206.41692 25.713722 14.072998 63.75859
139.0 35.5 2009.0 1889 0.8 49.632793 0.7982764 126.88333 12.829399 217.07382 0.83634186 310.74072 77.142426
140.0 35.5 2009.0 765 0.8 52.343147 0.86784285 127.60443 19.390404 35.67572 5.462082 290.61624 69.79506
141.0 35.5 2009.0 82 0.55 59.13816 0.9398589 188.3362 20.376389 346.75204 68.226395 95.59033 7.3492813
134.0 36.5 2009.0 42 0.8 38.47513 0.80242294 285.58463 9.72551 151.23456 76.22391 17.256714 9.661896
135.0 36.5 2009.0 100 0.8 41.63143 0.9913943 275.13745 3.380188 5.696472 9.379776 165.52643 80.01935
136.0 36.5 2009.0 724 0.8 36.966797 0.8654709 278.05997 6.149437 187.97789 0.76182556 90.94339 83.80318
137.0 36.5 2009.0 2083 0.8 26.972332 0.9830887 290.80365 1.9336166 21.257751 13.211449 192.62944 76.6427
138.0 36.5 2009.0 2665 0.65 31.572086 0.9135956 295.85162 3.5648499 205.48497 5.8648834 56.989136 83.13017
139.0 36.5 2009.0 2095 0.7 39.216225 0.6819006 297.3711 2.552475 27.378082 0.15650177 120.88452 87.44272
140.0 36.5 2009.0 922 0.7 39.804035 0.7021581 117.5325 1.3146133 27.420715 4.85981 222.6295 84.96471
141.0 36.5 2009.0 68 0.8 76.22751 0.7657245 208.48598 47.449524 0.63186646 39.06276 102.48367 14.200989
136.0 37.5 2009.0 221 0.8 37.176983 0.6799899 294.07452 4.7514496 202.75067 15.533821 40.61075 73.72038
137.0 37.5 2009.0 338 0.6 37.66489 0.75846756 293.43152 3.6167297 203.12927 4.770767 60.45993 84.00816
138.0 37.5 2009.0 851 0.65 37.410614 0.6374663 294.23608 10.414558 24.444672 1.1346359 120.59265 79.52243
139.0 37.5 2009.0 1530 0.65 33.76798 0.7127102 296.06686 6.0633698 206.05952 0.068992615 115.40997 83.93623
140.0 37.5 2009.0 980 0.6 32.226196 0.7502138 294.7187 0.87392426 24.73169 0.8512802 158.97308 88.77986
141.0 37.5 2009.0 206 0.6 40.193195 0.62119186 281.57196 3.5362473 191.52675 0.7317581 89.851105 86.38858
142.0 37.5 2009.0 25 0.3 33.005394 0.27674973 267.06824 9.118446 176.84222 1.4077148 78.1427 80.7717
138.0 38.5 2009.0 99 0.7 44.648525 0.56698513 301.92346 11.73951 209.58292 11.118187 77.28827 73.72044
139.0 38.5 2009.0 273 0.8 39.970448 0.7008313 285.75082 8.287491 195.2 3.7759628 80.91934 80.881775
140.0 38.5 2009.0 4423 0.45 36.12048 0.5228647 102.18994 0.7703552 12.181824 0.60395813 244.08905 89.020996
141.0 38.5 2009.0 4379 0.4 36.762817 0.49440557 102.624054 0.76129913 12.616852 0.542984 247.12213 89.06476
142.0 38.5 2009.0 148 0.45 41.953987 0.3426183 319.3752 2.5111618 229.27058 2.3847046 95.80167 86.53586
139.0 39.5 2009.0 88 0.65 38.63363 0.6498103 283.98697 3.9723206 193.63304 5.083351 51.829712 83.54219
140.0 39.5 2009.0 4313 0.45 36.31681 0.50402915 101.49301 1.0074615 11.480835 0.6930847 246.96008 88.77698
141.0 39.5 2009.0 4484 0.45 36.340065 0.50013983 102.52304 0.95964813 12.51535 0.45948792 256.93256 88.93594
142.0 39.5 2009.0 275 0.55 34.590744 0.555997 118.67346 0.45259094 208.68423 1.3597565 10.267212 88.567
139.0 40.5 2009.0 52 0.75 35.187893 0.63007593 95.46457 0.60461426 5.462097 0.23467255 254.24936 89.35138
140.0 40.5 2009.0 254 0.5 40.306084 0.37752986 83.22116 2.1714249 353.14563 1.9910965 220.6628 87.05322
141.0 40.5 2009.0 349 0.5 35.80191 0.44269097 98.4241 1.1173859 8.397491 1.3632431 227.75146 88.23729
142.0 40.5 2009.0 155 0.45 25.256767 0.70539165 110.36215 1.9246597 200.49455 3.9334412 354.34195 85.61951
139.0 41.5 2009.0 27 0.75 40.582836 0.76035446 96.13196 1.9736252 5.4591064 18.81887 191.8987 71.0701
140.0 41.5 2009.0 108 0.5 39.74744 0.29859042 94.151306 3.8701324 3.5462036 8.873337 207.48291 80.30687
141.0 41.5 2009.0 92 0.3 35.743263 0.16981234 75.46771 5.301155 344.70633 8.149849 198.18158 80.257996
139.0 42.5 2009.0 27 0.5 50.51367 0.8946352 279.8513 0.5388336 9.865601 1.5208817 170.3479 88.386505
140.0 42.5 2009.0 50 0.6 44.187725 0.5216715 274.41663 5.592865 5.6380615 12.280914 160.40503 76.46912
141.0 42.5 2009.0 36 0.4 31.488228 0.156774 262.25574 5.477417 352.7077 4.7027206 123.14142 82.77133
142.0 42.5 2009.0 29 0.75 44.374664 0.7157954 274.31223 4.1192627 6.0100403 22.361847 174.43701 67.221054
143.0 42.5 2009.0 37 0.8 49.549034 0.74090147 122.00342 13.359245 241.41597 64.19263 26.59375 21.652191
144.0 42.5 2009.0 25 0.8 41.425316 0.77905023 134.0506 13.3461 245.08736 56.5394 36.162872 30.047455
